id,SalePrice
1,207102.89334905669
2,187943.68364174504
3,214880.1122430238
4,165233.08117728258
5,294000.2417980969
6,157317.68355013686
7,280259.4817250797
8,221491.24837521717
9,130530.68768304332
10,121819.64697161628
11,128129.60140935903
12,380309.9430422499
13,132320.03935269645
14,227819.5715685039
15,151352.73407363007
16,134753.59525442705
17,152818.29170134384
18,107225.77805669188
19,155645.36701155713
20,124153.95858709664
21,322922.4360399274
22,126674.90506143139
23,234295.75264925126
24,140733.74654657755
25,149564.23747441985
26,248747.10204601666
27,129184.79154038097
28,292137.21586720884
29,199841.28854398086
30,69826.71411152158
31,63912.31509374598
32,138739.6843738847
33,195409.80741663676
34,174160.46468210864
35,286713.19094769267
36,305351.5968358921
37,149923.80935174512
38,151370.98303842533
39,124701.82857903941
40,81515.91426442568
41,143280.96792355122
42,162551.14726819584
43,145955.65830140107
44,129090.13120921256
45,141215.67479843646
46,289081.56919721194
47,265564.8153197898
48,245159.50515205922
49,100388.69904475215
50,132672.78144585618
51,174751.1383261918
52,124612.986909683
53,103367.4026733882
54,363668.3305444085
55,120101.67772815771
56,162951.82639915845
57,194976.2823728069
58,195965.0875812639
59,441784.84410029574
60,122233.98378126614
61,174078.82092962984
62,101018.17704121255
63,207522.46181052196
64,137562.9474996212
65,232720.5948495838
66,294237.96912584757
67,230368.35975027407
68,214009.88173328224
69,77158.70013471143
70,218257.1007108128
71,284666.1394483016
72,118474.03362495222
73,194422.77774152896
74,142250.0043423964
75,102844.80535074676
76,95805.76446413148
77,115990.4071952757
78,116541.03578306471
79,124621.36160322514
80,113581.39970209738
81,194147.4520994742
82,166436.03305157664
83,241026.61714275973
84,124817.4329731376
85,164994.29168799456
86,261326.6468065861
87,179938.7204740629
88,164392.7197437298
89,61026.76291128377
90,118769.98493173993
91,104422.95843116796
92,114216.86882264637
93,147642.03722134413
94,138559.57618268672
95,194065.80590880933
96,186190.5856138579
97,217416.71453482023
98,112322.85591008073
99,80815.8234707221
100,115023.58439037821
101,215094.45280112655
102,167191.7451301479
103,119875.47216081178
104,184413.12160073873
105,156070.28811451106
106,254120.48541425206
107,92474.02726273856
108,93766.0561967936
109,113368.28245303403
110,209123.59115265176
111,144557.65689791692
112,175706.70099135942
113,364723.54393843433
114,223750.8514037062
115,238797.92071465554
116,167060.75248627283
117,124052.93040509948
118,148386.35648926633
119,318783.1354663319
120,176424.7905796894
121,170289.30665352143
122,93835.90128741543
123,141439.09600191726
124,160407.736324143
125,172386.52790050145
126,93492.61768678657
127,129233.40796793404
128,87348.92504830283
129,141400.59437774736
130,142172.04385766137
131,221516.67989322802
132,219849.3121409464
133,148880.32173363757
134,211187.13101384454
135,172987.61039118425
136,185454.97073028077
137,138763.19802201356
138,188876.64825117332
139,244769.09538209403
140,204811.72513599406
141,103692.03002106391
142,244278.61192872256
143,129688.2203821399
144,218403.2612942819
145,139245.83491588477
146,137692.72266136023
147,108309.68785511589
148,215413.69951716968
149,150668.83732972597
150,110052.37115136474
151,135417.24835485485
152,332942.04747838783
153,183313.34536872403
154,203768.6465810086
155,109076.88642737312
156,82981.19572563833
157,113620.10395822635
158,270327.6296130938
159,233228.6420142979
160,296501.1060579113
161,166595.05630204518
162,406833.59349634004
163,241504.07851876525
164,94437.90594078632
165,148842.87873206622
166,122214.55960047353
167,191637.43667463496
168,352867.6402527699
169,194514.15896478965
170,227852.77950396584
171,131079.94371819228
172,211685.62913207742
173,222123.53491581546
